order_id;user_id;num_of_item
14;14;1
20;21;1
25;27;1
41;41;1
42;41;1
44;41;1
49;44;1
51;45;1
60;55;1
76;66;1
96;81;1
100;82;1
102;86;1
121;102;1
134;113;1
137;115;1
138;116;1
141;121;1
146;123;1
148;124;1
170;139;1
211;167;1
224;181;1
252;203;1
257;210;1
259;211;1
279;229;1
295;247;1
329;263;1
334;265;1
363;290;1
371;294;1
378;300;1
384;308;1
391;313;1
392;313;1
393;314;1
444;351;1
453;359;1
456;360;1
466;368;1
472;373;1
477;376;1
479;379;1
484;384;1
505;399;1
507;401;1
514;405;1
516;407;1
518;408;1
521;409;1
526;412;1
549;428;1
552;431;1
577;451;1
578;451;1
599;465;1
603;468;1
604;468;1
605;469;1
611;472;1
640;493;1
648;499;1
690;534;1
696;538;1
697;541;1
700;544;1
702;544;1
707;546;1
721;554;1
756;582;1
767;594;1
779;603;1
781;604;1
806;626;1
808;628;1
818;634;1
828;640;1
829;640;1
830;640;1
833;644;1
834;645;1
835;646;1
875;687;1
931;737;1
946;748;1
951;754;1
952;754;1
971;765;1
976;769;1
978;770;1
1000;794;1
1025;810;1
1040;819;1
1055;829;1
1063;835;1
1070;840;1
1087;854;1
1093;858;1
1108;871;1
1109;871;1
1128;888;1
1151;907;1
1156;911;1
1184;938;1
1196;948;1
1202;955;1
1207;962;1
1219;972;1
1237;985;1
1251;992;1
1252;992;1
1255;995;1
1256;995;1
1268;1004;1
1273;1008;1
1274;1009;1
1295;1025;1
1305;1038;1
1307;1038;1
1310;1040;1
1317;1044;1
1318;1044;1
1339;1062;1
1349;1072;1
1364;1085;1
1373;1097;1
1374;1097;1
1378;1100;1
1393;1108;1
1397;1114;1
1406;1119;1
1410;1121;1
1414;1124;1
1415;1125;1
1425;1131;1
1447;1150;1
1473;1170;1
1476;1174;1
1512;1194;1
1516;1198;1
1517;1200;1
1528;1208;1
1532;1211;1
1549;1218;1
1568;1236;1
1570;1240;1
1591;1255;1
1623;1276;1
1624;1276;1
1627;1277;1
1631;1279;1
1638;1283;1
1652;1295;1
1659;1306;1
1660;1306;1
1661;1307;1
1672;1315;1
1690;1332;1
1691;1333;1
1697;1338;1
1698;1339;1
1704;1341;1
1707;1342;1
1715;1348;1
1739;1359;1
1743;1365;1
1751;1370;1
1753;1370;1
1757;1372;1
1772;1384;1
1779;1391;1
1784;1396;1
1785;1396;1
1809;1416;1
1811;1417;1
1818;1423;1
1827;1430;1
1828;1431;1
1865;1460;1
1896;1489;1
1909;1505;1
1910;1507;1
1914;1510;1
1922;1516;1
1923;1516;1
1928;1518;1
1949;1533;1
1951;1536;1
1958;1542;1
1967;1549;1
1970;1551;1
1973;1551;1
1980;1559;1
1987;1563;1
1997;1574;1
2007;1583;1
2017;1591;1
2027;1598;1
2030;1600;1
2042;1613;1
2063;1628;1
2071;1632;1
2074;1635;1
2089;1652;1
2094;1655;1
2113;1667;1
2119;1670;1
2140;1687;1
2145;1691;1
2146;1691;1
2156;1698;1
2162;1700;1
2172;1712;1
2179;1718;1
2183;1722;1
2208;1741;1
2210;1743;1
2221;1751;1
2229;1756;1
2230;1757;1
2237;1761;1
2238;1762;1
2244;1768;1
2251;1772;1
2263;1781;1
2285;1799;1
2289;1802;1
2292;1805;1
2296;1808;1
2316;1827;1
2317;1828;1
2320;1828;1
2328;1833;1
2334;1839;1
2338;1844;1
2366;1863;1
2370;1867;1
2385;1881;1
2389;1885;1
2395;1890;1
2407;1899;1
2425;1915;1
2426;1916;1
2428;1918;1
2443;1930;1
2447;1936;1
2449;1939;1
2467;1950;1
2470;1952;1
2471;1954;1
2491;1968;1
2500;1976;1
2506;1981;1
2520;1990;1
2521;1990;1
2536;2005;1
2538;2005;1
2558;2027;1
2581;2042;1
2600;2056;1
2612;2066;1
2619;2071;1
2622;2072;1
2629;2077;1
2637;2082;1
2665;2101;1
2671;2103;1
2680;2111;1
2702;2131;1
2708;2135;1
2724;2152;1
2736;2161;1
2739;2161;1
2744;2166;1
2745;2166;1
2761;2176;1
2774;2188;1
2812;2215;1
2832;2227;1
2881;2272;1
2888;2277;1
2903;2285;1
2910;2295;1
2911;2298;1
2914;2302;1
2924;2310;1
2927;2313;1
2928;2314;1
2931;2314;1
2939;2325;1
2940;2325;1
2946;2327;1
2957;2336;1
2959;2338;1
2960;2338;1
2962;2340;1
2969;2347;1
2970;2348;1
2988;2369;1
2994;2371;1
3009;2385;1
3015;2389;1
3043;2407;1
3079;2431;1
3084;2438;1
3091;2444;1
3112;2460;1
3125;2474;1
3133;2478;1
3135;2480;1
3137;2481;1
3145;2484;1
3146;2485;1
3151;2488;1
3163;2503;1
3172;2509;1
3180;2519;1
3188;2528;1
3225;2556;1
3232;2562;1
3235;2566;1
3260;2585;1
3265;2590;1
3271;2596;1
3285;2605;1
3301;2620;1
3304;2622;1
3307;2624;1
3314;2629;1
3334;2641;1
3335;2641;1
3346;2647;1
3352;2656;1
3354;2656;1
3356;2658;1
3373;2671;1
3378;2673;1
3380;2674;1
3393;2687;1
3403;2695;1
3404;2695;1
3413;2700;1
3426;2711;1
3429;2712;1
3430;2715;1
3439;2723;1
3440;2725;1
3457;2738;1
3463;2743;1
3489;2767;1
3502;2782;1
3503;2782;1
3504;2782;1
3509;2787;1
3511;2788;1
3533;2804;1
3535;2806;1
3540;2816;1
3545;2818;1
3552;2827;1
3553;2828;1
3559;2831;1
3582;2852;1
3587;2855;1
3594;2861;1
3598;2866;1
3623;2882;1
3647;2900;1
3652;2904;1
3655;2906;1
3660;2913;1
3704;2939;1
3709;2942;1
3717;2947;1
3725;2953;1
3734;2958;1
3741;2964;1
3744;2965;1
3746;2965;1
3749;2967;1
3755;2971;1
3756;2972;1
3759;2975;1
3764;2982;1
3780;2995;1
3781;2996;1
3792;3004;1
3801;3010;1
3810;3015;1
3812;3018;1
3854;3039;1
3859;3045;1
3891;3066;1
3897;3072;1
3898;3073;1
3906;3079;1
3912;3084;1
3950;3114;1
3953;3116;1
3954;3117;1
3964;3128;1
3970;3134;1
3979;3141;1
3980;3141;1
3982;3144;1
3992;3153;1
3996;3158;1
4003;3164;1
4009;3168;1
4011;3169;1
4030;3184;1
4043;3193;1
4062;3211;1
4064;3213;1
4083;3225;1
4090;3229;1
4092;3231;1
4093;3232;1
4105;3241;1
4111;3246;1
4112;3246;1
4113;3246;1
4121;3252;1
4126;3257;1
4148;3274;1
4151;3276;1
4152;3276;1
4161;3290;1
4164;3292;1
4174;3299;1
4178;3301;1
4191;3313;1
4195;3314;1
4196;3315;1
4198;3317;1
4200;3319;1
4215;3328;1
4227;3339;1
4234;3345;1
4236;3345;1
4240;3348;1
4253;3357;1
4261;3362;1
4262;3364;1
4269;3369;1
4275;3375;1
4285;3382;1
4302;3394;1
4313;3400;1
4332;3414;1
4333;3414;1
4335;3415;1
4378;3456;1
4379;3456;1
4394;3469;1
4396;3471;1
4407;3480;1
4426;3497;1
4427;3497;1
4447;3510;1
4449;3512;1
4450;3512;1
4451;3512;1
4469;3526;1
4488;3543;1
4494;3549;1
4496;3550;1
4511;3564;1
4512;3564;1
4513;3565;1
4516;3565;1
4533;3580;1
4546;3592;1
4548;3594;1
4558;3606;1
4559;3607;1
4571;3618;1
4572;3619;1
4586;3631;1
4630;3674;1
4632;3676;1
4633;3677;1
4675;3706;1
4681;3713;1
4686;3718;1
4688;3719;1
4694;3724;1
4708;3740;1
4709;3741;1
4719;3747;1
4720;3747;1
4731;3755;1
4742;3770;1
4744;3770;1
4746;3771;1
4753;3780;1
4761;3786;1
4780;3806;1
4781;3809;1
4801;3827;1
4810;3831;1
4812;3833;1
4822;3839;1
4823;3840;1
4838;3851;1
4842;3854;1
4847;3859;1
4856;3867;1
4863;3873;1
4868;3877;1
4880;3882;1
4881;3883;1
4891;3889;1
4892;3889;1
4893;3890;1
4894;3891;1
4904;3898;1
4907;3900;1
4908;3901;1
4909;3903;1
4918;3914;1
4922;3916;1
4936;3927;1
4948;3936;1
4979;3958;1
4981;3961;1
5003;3981;1
5022;3995;1
5026;3998;1
5031;4003;1
5032;4004;1
5077;4044;1
5082;4050;1
5105;4069;1
5109;4073;1
5121;4082;1
5122;4083;1
5135;4092;1
5169;4119;1
5185;4126;1
5194;4133;1
5210;4147;1
5211;4147;1
5217;4152;1
5220;4153;1
5227;4161;1
5230;4163;1
5233;4167;1
5234;4167;1
5241;4175;1
5242;4175;1
5285;4204;1
5298;4211;1
5304;4215;1
5330;4244;1
5344;4256;1
5353;4264;1
5355;4265;1
5361;4269;1
5365;4274;1
5380;4283;1
5381;4283;1
5407;4295;1
5415;4300;1
5417;4300;1
5422;4303;1
5428;4307;1
5458;4331;1
5472;4343;1
5477;4347;1
5481;4350;1
5490;4365;1
5502;4378;1
5526;4393;1
5527;4393;1
5528;4394;1
5532;4396;1
5572;4431;1
5573;4432;1
5579;4436;1
5582;4440;1
5586;4444;1
5587;4445;1
5624;4467;1
5652;4486;1
5654;4487;1
5667;4500;1
5672;4503;1
5685;4512;1
5695;4521;1
5702;4525;1
5712;4536;1
5716;4539;1
5718;4540;1
5739;4562;1
5750;4574;1
5755;4578;1
5763;4585;1
5771;4593;1
5790;4611;1
5793;4612;1
5800;4619;1
5814;4629;1
5815;4629;1
5839;4647;1
5858;4659;1
5866;4664;1
5895;4689;1
5897;4691;1
5908;4698;1
5909;4698;1
5912;4700;1
5913;4700;1
5917;4703;1
5948;4727;1
5955;4734;1
5957;4735;1
5971;4745;1
5986;4757;1
5994;4762;1
5997;4766;1
6012;4775;1
6018;4779;1
6021;4780;1
6028;4786;1
6030;4787;1
6042;4794;1
6044;4796;1
6050;4800;1
6055;4803;1
6056;4803;1
6058;4806;1
6060;4806;1
6075;4820;1
6118;4854;1
6155;4882;1
6156;4882;1
6169;4895;1
6178;4902;1
6179;4902;1
6183;4904;1
6184;4905;1
6220;4931;1
6222;4934;1
6234;4946;1
6250;4958;1
6251;4960;1
6305;5015;1
6314;5023;1
6316;5025;1
6325;5032;1
6343;5047;1
6364;5071;1
6380;5082;1
6387;5084;1
6389;5084;1
6412;5105;1
6464;5150;1
6488;5169;1
6489;5169;1
6492;5171;1
6507;5185;1
6508;5185;1
6522;5193;1
6534;5205;1
6536;5206;1
6555;5221;1
6558;5226;1
6559;5226;1
6591;5248;1
6600;5259;1
6618;5274;1
6621;5274;1
6623;5276;1
6626;5278;1
6631;5281;1
6632;5284;1
6641;5291;1
6648;5297;1
6649;5297;1
6651;5300;1
6661;5307;1
6662;5308;1
6678;5321;1
6688;5333;1
6710;5350;1
6716;5356;1
6719;5359;1
6734;5369;1
6735;5371;1
6751;5383;1
6755;5385;1
6768;5394;1
6775;5402;1
6794;5422;1
6795;5424;1
6796;5424;1
6797;5425;1
6803;5430;1
6806;5432;1
6807;5432;1
6815;5438;1
6817;5440;1
6833;5453;1
6835;5455;1
6836;5456;1
6838;5457;1
6843;5461;1
6856;5475;1
6857;5476;1
6900;5513;1
6918;5531;1
6919;5533;1
6938;5547;1
6944;5552;1
6955;5563;1
6984;5590;1
7014;5614;1
7019;5618;1
7030;5632;1
7052;5650;1
7059;5656;1
7077;5672;1
7106;5694;1
7121;5711;1
